Nombre,Direccion,Longitud,Latitud
Abarrotes Erick,"Sascabera 32, Polvorín (Ampliación), Amp Polvorín, 24060 San Francisco de Campeche, Camp.",-90.521374,19.825579
ABARROTES ERICK SIGLO XXI,"Cuarta 62, Siglo XXI, 24085 San Francisco de Campeche, Camp.",-90.491962,19.813708
ABARROTES ERICK SUC. LEOVIGILDO,"C. Babilonia, Leovigildo Gómez, 24060 San Francisco de Campeche, Camp.",-90.513516,19.822389
ABARROTES GENA,"Av Luis Donaldo Colosio Murrieta 7, Barrio de San José, 24040 San Francisco de Campeche, Camp.",-90.545302,19.83305
Abarrotes Genesis,"C. 112 6A, Barrio de Sta Lucía, 24020 San Francisco de Campeche, Camp.",-90.511342,19.846166
ABARROTES GETSEMANY,"C. Monte de los Olivos 14, Leovigildo Gómez, 24060 San Francisco de Campeche, Camp.",-90.515946,19.822794
Abarrotes Gladys,"Lomas, 24070 San Francisco de Campeche, Camp.",-90.513264,19.833581
Abarrotes Gonzalez,"C. 51 25, Zona Centro, 24000 San Francisco de Campeche, Camp.",-90.534177,19.845971
Abarrotes Hernandez,"Calle Vicente Guerrero 38, Miguel Hidalgo (Ampliación), Amp Miguel Hidalgo, 24094 San Francisco de Campeche, Camp.",-90.533024,19.81096
Abarrotes Hernandez,"C. Argentina 16, Barrio de San Francisco, 24010 San Francisco de Campeche, Camp.",-90.525546,19.845944
Abarrotes Irene.,"C. 12-A entre 9 y 7, Samulá, 24090 San Francisco de Campeche, Camp.",-90.548527,19.822136
ABARROTES JAFETH,"C. Octava 49, Siglo XXI, 24073 San Francisco de Campeche, Camp.",-90.492296,19.811327
ABARROTES JOHMAT,"C. 2, Samulá, 24090 San Francisco de Campeche, Camp.",-90.543367,19.818582
Abarrotes Josefina,"C. Galeana 69, San Rafael, 24090 San Francisco de Campeche, Camp.",-90.53566,19.82435
Abarrotes KArla KArina,"C. 37 54-48, Barrio de San Francisco, 24010 San Francisco de Campeche, Camp.",-90.520952,19.8478
Abarrotes Keyla,"Sta. María 9, Cuatro Caminos (Ampliación), Lomas, 24070 San Francisco de Campeche, Camp.",-90.514871,19.834434
Abarrotes Kokoyambo,"Ostional 2, Barrio de la Ermita, 24020 San Francisco de Campeche, Camp.",-90.516334,19.859052
"Abarrotes la ""Almendra""","C. 49 33, Barrio de Guadalupe, 24010 San Francisco de Campeche, Camp.",-90.531004,19.845556
ABARROTES LA BENDICION DEL DIVINO NIÑO,"C. 5 29, Bellavista, 24020 San Francisco de Campeche, Camp.",-90.516203,19.851382
Abarrotes la bendición de Dios,"C. Jalisco 15A, Barrio de Sta Ana, 24050 San Francisco de Campeche, Camp.",-90.526436,19.837172
ABARROTES LA CONCHITA,"C. 14 71, Guadalupe, Barrio de Guadalupe, 24010 San Francisco de Campeche, Camp.",-90.528239,19.847044
ABARROTES LA ESQUINA,"C. Benito Juárez, Bellavista, 24020 San Francisco de Campeche, Camp.",-90.511656,19.85566
Abarrotes La Gracia,"5 de Mayo, San Caralampio, 24020 San Francisco de Campeche, Camp.",-90.510997,19.853223
Abarrotes La Guadalupana,"Segunda privada de la Pedro moreno, entre narciso Mendoza y altillo, Barrio de San José, 24040 San Francisco de Campeche, Camp.",-90.536589,19.833141
ABARROTES LA GUADALUPANA,"Colonias o C 12, San Joaquín, 24020 San Francisco de Campeche, Camp.",-90.505996,19.852558
Abarrotes La Jaulita De Oro,"Aralia, Jardines, 24060 San Francisco de Campeche, Camp.",-90.516369,19.831834
ABARROTES LA LUPITA,"C. 18 17, Lázaro Cárdenas, 24095 San Francisco de Campeche, Camp.",-90.537834,19.810101
ABARROTES LA NUEVA ESPERANZA,"Vicente Guerrero, San Rafael, 24090 San Francisco de Campeche, Camp.",-90.537353,19.827216
ABARROTES LAS QUINCE LETRAS,"Tamaulipas 61, Barrio de Sta Ana, 24050 San Francisco de Campeche, Camp.",-90.523592,19.842496
Abarrotes los Angeles,"24060, Pocyaxun 22, Solidaridad Urbana, San Francisco de Campeche, Camp.",-90.521135,19.819984
Abarrotes Lucky,"C. 4 Caminos 59, Cuatro Caminos, 24070 San Francisco de Campeche, Camp.",-90.512409,19.83726
Abarrotes Lumar,"Av Gobernadores 263, Dzarbay, 24020 San Francisco de Campeche, Camp.",-90.515471,19.842659
Abarrotes Manolos,"C. And. Los Aguacates 5, Quinta Belem I y II, 24050 San Francisco de Campeche, Camp.",-90.532182,19.831716
Abarrotes Maria Angelica,"C. 9 119A, Kanisté, 24038 San Francisco de Campeche, Camp.",-90.551055,19.822632
ABARROTES MARTHA ELENA,"Guadalupe Victoria 48, Miguel Hidalgo (Ampliación), Miguel Hidalgo, 24094 San Francisco de Campeche, Camp.",-90.534573,19.814156
Abarrotes Mary,"C. Vigésima Segunda 7, Vivah 1 Etapa, Siglo XXI, 24073 San Francisco de Campeche, Camp.",-90.49185,19.802586
ABARROTES Mary,"Francisco Márquez 410, Miguel Hidalgo (Ampliación), Amp Miguel Hidalgo, 24094 San Francisco de Campeche, Camp.",-90.539577,19.812066
Abarrotes Mary,"Av Gobernadores 214, Dzarbay, 24020 San Francisco de Campeche, Camp.",-90.513436,19.8428
ABARROTES MAXI DESPENSA Y AGUA ZERO,"Calle del olvido entre limonar, Pedrera y, 24060 San Francisco de Campeche, Camp.",-90.521793,19.831785
Abarrotes Michell,"El Tinto, Tinto, 24520 Chiná, Camp.",-90.498707,19.780988
Abarrotes MONTEVERDE,"C. 27 4, Kanisté, 24038 San Francisco de Campeche, Camp.",-90.555458,19.81444
Abarrotes Mr. Paco,"Brasil 97, Barrio de Sta Ana, 24050 San Francisco de Campeche, Camp.",-90.527639,19.841299
ABARROTES NORKA,"24098, Ignacio Zaragoza, 24098 San Francisco de Campeche, Camp.",-90.541573,19.815301
ABARROTES PASADITA,"C. 4, Samulá, 24090 San Francisco de Campeche, Camp.",-90.543789,19.821379
Abarrotes paula,"Saramuyo 11, Flor de Limón, 24069 San Francisco de Campeche, Camp.",-90.525149,19.831107
ABARROTES PROGRESO,"24095, C. 20 3435, Zona Sin Asignación de Nombre, San Francisco de Campeche, Camp.",-90.538153,19.81059
ABARROTES REVOLUCION,"Revolución 317, De, Barrio de Sta Ana, 24050 San Francisco de Campeche, Camp.",-90.518679,19.841607
Abarrotes RITA,"C. 10 43, Samulá, 24090 San Francisco de Campeche, Camp.",-90.550066,19.812917
Abarrotes Rosmary,"C. Argentina 66C, Barrio de San Francisco, 24010 San Francisco de Campeche, Camp.",-90.525559,19.847178
Abarrotes Ruby,"Tercera 49, Siglo XXI, 24085 San Francisco de Campeche, Camp.",-90.494997,19.811247
Abarrotes San Fernando,"Esperanza, San Rafael, 24090 San Francisco de Campeche, Camp.",-90.538122,19.829433
Abarrotes San Francisco,"24020, Miguel Hidalgo 31, Amp Bellavista, San Francisco de Campeche, Camp.",-90.511672,19.854941
Abarrotes San Judas,"Barrio de Sta Ana, 24050 San Francisco de Campeche, Camp.",-90.534115,19.833702
ABARROTES SAN RAFAEL,"C. 6, Amp San Rafael, 24090 San Francisco de Campeche, Camp.",-90.534812,19.823222
ABARROTES SARITA,"Centro, 24520 Chiná, Camp.",-90.496618,19.774879
ABARROTES SHADDAI,"Vigésima Cuarta, Siglo XXI, 24073 San Francisco de Campeche, Camp.",-90.486914,19.802437
ABARROTES THE FRIEND,"Tamaulipas 36, Barrio de Sta Ana, 24050 San Francisco de Campeche, Camp.",-90.530832,19.841724
ABARROTES VIKY,"De la 20, Conhuas, Chonhuás, 24520 Chiná, Camp.",-90.493078,19.771148
Abarrotes Villa Luisa,"San Luis, Esperanza, 24080 San Francisco de Campeche, Camp.",-90.498539,19.845465
Abarrotes Willys Bellavista 1,"C. 15 15 o, Bellavista (Ampliación), Amp Bellavista, 24020 San Francisco de Campeche, Camp.",-90.504982,19.855181
"Abarrotes Willys, Plan Chac","Av. Jaina Mza 4 Lte 1, Unidad y Trabajo, 24088 San Francisco de Campeche, Camp.",-90.493739,19.852567
ABARROTES Y CARNES FRÍAS BRAULIO,"Mercado Pedro Z, C. Costa Rica Loc 68-70, Barrio de Sta Ana, 24050 San Francisco de Campeche, Camp.",-90.532405,19.842171
ABARROTES Y CARNES FRÍAS SANTA LUCÍA,"1er. Rtno. de La C. 108 80 A, Mártires de Río Blanco, 24024 San Francisco de Campeche, Camp.",-90.512811,19.848256
Abarrotes y Carnicería Mary,"C. Tulipán LB, Polvorín (Ampliación), Amp Polvorín, 24060 San Francisco de Campeche, Camp.",-90.515129,19.824526
Abarrotes y carnicerías vazquez,"16 de Julio 573, 24094 San Francisco de Campeche, Camp.",-90.553372,19.810544
Abarrotes y novedades lety,"Quinta Manzana 40 Lote 71, Siglo XXI, 24073 San Francisco de Campeche, Camp.",-90.494239,19.810066
Abarrotes y papelería El Eden,"Vigésima Cuarta 63, Vivah 1 Etapa, Siglo XXI, 24073 San Francisco de Campeche, Camp.",-90.490923,19.801603
Abarrotes y Salchichonería,"Av Cto Baluartes, Barrio de Sta Ana, 24050 San Francisco de Campeche, Camp.",-90.533112,19.841511
Abarrotes Y Tortillería Michoacán,"Belén Oeste 6, Lotificación Villa Tulipanes, 24050 San Francisco de Campeche, Camp.",-90.533505,19.833584
Abarrotes yemaya,"C. 110 12, Barrio de Sta Lucía, 24020 San Francisco de Campeche, Camp.",-90.512711,19.845009
ABARROTES YIREH,"ANDADOR 2 NO.9, Ignacio Zaragoza (Ampliación), Ignacio Zaragoza, 24098 San Francisco de Campeche, Camp.",-90.5412,19.815019
Abarrotes Yisell,"C. Noche Buena, Amp Jardines, 24060 San Francisco de Campeche, Camp.",-90.51712,19.828205
ABARROTES “ LA VECINA”,"24060, Solidaridad Urbana, 24060 San Francisco de Campeche, Camp.",-90.5211,19.81801
Abastecedora Herrera Brito,"Av. Edzna, Unidad y Trabajo, 24088 San Francisco de Campeche, Camp.",-90.491531,19.853965
ABOGADOS Y NOTARIOS PÚBLICOS Lic. Jorge Luis Pérez Camara,"C. 61 13, Zona Centro, 24000 San Francisco de Campeche, Camp.",-90.538578,19.844425
